"FormKey","EditorID","Action"
"00E8DA:Dawnguard.esm","DLC1FalmerShamanWeapon","flatten-in-place"
"015CB7:Dawnguard.esm","DLC1LItemFalmerBootsHeavy25","flatten-in-place"
"015CB6:Dawnguard.esm","DLC1LItemFalmerCuriassHeavy75","flatten-in-place"
"015CB8:Dawnguard.esm","DLC1LItemFalmerGauntletsHeavy25","flatten-in-place"
"00E8E1:Dawnguard.esm","DLC1LItemFalmerHelmetHeavy100","flatten-in-place"
"01A17E:Dawnguard.esm","DLC1LItemKeeperBowWeapon","flatten-in-place"
"01A178:Dawnguard.esm","DLC1LItemKeeperShieldWeapon","flatten-in-place"
"01A185:Dawnguard.esm","DLC1LItemKeeperSwordWeapon","flatten-in-place"
"00D0EC:Dawnguard.esm","DLC1LItemWeaponDawnguardCrossbowLoot75Gated","flatten-in-place"
"026B4F:Dragonborn.esm","DLC2LItemBanditArmor","flatten-in-place"
"026B5F:Dragonborn.esm","DLC2LItemBanditArmorBoss","flatten-in-place"
"026B59:Dragonborn.esm","DLC2LItemBanditArmorShield20","flatten-in-place"
"03C40D:Dragonborn.esm","DLC2MQ06MiraakFightMask","flatten-in-place"
"03C40C:Dragonborn.esm","DLC2MQ06MiraakFightRobes","flatten-in-place"
"0F5D1E:Skyrim.esm","dunLItemFolgunthurMikrulSword","flatten-in-place"
"0F5D23:Skyrim.esm","dunLItemGeirmundSigdisBow","flatten-in-place"
"0154E1:Skyrim.esm","dunMarkarthWizardMeleeSecurityBoots","flatten-in-place"
"0154E2:Skyrim.esm","dunMarkarthWizardMeleeSecurityCuirass","flatten-in-place"
"0154E3:Skyrim.esm","dunMarkarthWizardMeleeSecurityGauntlets","flatten-in-place"
"0154E4:Skyrim.esm","dunMarkarthWizardMeleeSecurityHelmet","flatten-in-place"
"0154E5:Skyrim.esm","dunMarkarthWizardMeleeSecurityShield","flatten-in-place"
"105544:Skyrim.esm","LItemArmorHelmetHeavy50","flatten-in-place"
"037C1E:Skyrim.esm","LItemBanditBattleaxe","flatten-in-place"
"037C23:Skyrim.esm","LItemBanditBoots","flatten-in-place"
"03DF1A:Skyrim.esm","LItemBanditBossBoots","flatten-in-place"
"03DF19:Skyrim.esm","LItemBanditBossCuirass","flatten-in-place"
"03DF18:Skyrim.esm","LItemBanditBossGauntlets50","flatten-in-place"
"03DF1B:Skyrim.esm","LItemBanditBossHelmet50","flatten-in-place"
"03DF1F:Skyrim.esm","LItemBanditBossMace","flatten-in-place"
"03DF22:Skyrim.esm","LItemBanditBossShield","flatten-in-place"
"03DF1D:Skyrim.esm","LItemBanditBossSword","flatten-in-place"
"037C22:Skyrim.esm","LItemBanditCuirass","flatten-in-place"
"037C25:Skyrim.esm","LItemBanditGauntlets50","flatten-in-place"
"037C1D:Skyrim.esm","LItemBanditGreatsword","flatten-in-place"
