"FormKey","EditorID","Gated","Class"
"07161C:Skyrim.esm","LootCWSonsGoldBoss","True","container-only"
"01913D:Dawnguard.esm","DLC1LItemGargoyleMineralsRaw75","False","unreached"
"01E0C8:Dragonborn.esm","DLC2DeathItemEbonyWarrior","False","unreached"
"01C1F1:Skyrim.esm","SublistEnchOrcishGreatswordStamina","True","both"
"0374FC:Dragonborn.esm","DLC2LItemMiscVendorArmor75","False","container-only"
"10D95E:Skyrim.esm","LItemFoodAppleRedSmall","False","container-only"
"02AAD5:Dragonborn.esm","DLC2SublistEnchNordicWarhammerStamina","True","container-only"
"016E21:Skyrim.esm","LItemRobesCollegeRestoration","True","container-only"
"05ADA5:Skyrim.esm","LItemOreObsidian","False","unreached"
"0ABF4B:Skyrim.esm","OutfitListGuardSons","False","actor-only"
"0AE742:Skyrim.esm","SublistEnchOrcishBowStamina","True","both"
"0173D3:Skyrim.esm","LItemBlacksmithSpecialLoot10","False","container-only"
"10FAC3:Skyrim.esm","LootForswornIngredients25","False","actor-only"
"0F6280:Skyrim.esm","LItemBlacksmithMinMace","True","container-only"
"0DDD85:Skyrim.esm","LItemEnchEbonyWarhammerBoss","False","unreached"
"04B577:Skyrim.esm","SublistEnchIronWarAxeFrost","True","both"
"02B0C1:Dragonborn.esm","DLC2SublistEnchNordicDaggerShock","True","container-only"
"0899F0:Skyrim.esm","SublistEnchGlassMaceStamina","True","both"
"0B4221:Skyrim.esm","LItemEnchArmorLightCuirass","True","both"
"0B5101:Skyrim.esm","SublistEnchArmorSteelHelmet01","False","both"
"10D95D:Skyrim.esm","LItemFoodAppleGreenSmall","False","container-only"
"10FABE:Skyrim.esm","BaseArrowForsworn75","False","actor-only"
"10BF6F:Skyrim.esm","LItemFoodAppleRed75","False","container-only"
"065A7F:Skyrim.esm","LItemPoisonDrainAllSkills","False","both"
"0A0933:Skyrim.esm","LItemWerewolfWeapon05","False","unreached"
"10FAB3:Skyrim.esm","LItemStaff75NPC","False","actor-only"
"103AD4:Skyrim.esm","LootDwarvenSphereSoulGem50","False","unreached"
"0899CB:Skyrim.esm","SublistEnchGlassBowFear","True","both"
"037C1E:Skyrim.esm","LItemBanditBattleaxe","True","actor-only"
"0FD9A1:Skyrim.esm","SublistEnchArmorEbonyCuirass05","False","both"
"071529:Skyrim.esm","LootCWSonsWeapon15","False","container-only"
"10FAB6:Skyrim.esm","LootForswornRandom","False","actor-only"
"000F51:Skyrim.esm","SublistEnchArmorShield04Dragonscale05","False","both"
"065A78:Skyrim.esm","LItemPoisonDrainMarksman","False","both"
"089DB2:Skyrim.esm","SublistEnchEbonyDaggerShock","True","both"
"02AAE2:Dragonborn.esm","DLC2SublistEnchNordicSwordFire","True","container-only"
"0A44C8:Skyrim.esm","LItemScroll25Skill","False","unreached"
"0B5102:Skyrim.esm","SublistEnchArmorSteelHelmet02","False","both"
"04B57C:Skyrim.esm","SublistEnchSteelWarAxeFire","True","both"
"100E71:Skyrim.esm","LItemEnchRingLockpicking","True","both"
"08B651:Skyrim.esm","SublistEnchArmorDwarvenHelmet03","False","both"
"107326:Skyrim.esm","SublistEnchGlassSwordAbsorbMagicka","True","both"
"039BBE:Dragonborn.esm","DLC2OutfitSkaalHatChance50","False","actor-only"
"10C1FE:Skyrim.esm","LItemIngredientSpiderEgg","False","container-only"
"070C20:Skyrim.esm","LItemDwarvenOnlyArmor","False","container-only"
"000E88:Skyrim.esm","LootBanditChestBossMagicItem100","False","unreached"
"039ED8:Skyrim.esm","LItemPotionFortifyIllusion","True","both"
"0FD9EF:Skyrim.esm","SublistEnchArmorGlassCuirass04","False","both"
"01DBC6:Dragonborn.esm","DLC2dunKolbjornLItemMinerClothes01","False","actor-only"
"032FE9:Skyrim.esm","LItemVampireClothes","False","unreached"
"02DF9E:Skyrim.esm","LItemVampireWeaponBow","True","unreached"
